Topic name,Tags,Partitions,Production,Consumption,Retained bytes,Consumers,Has data contract
ALMS.REFERENCE.INTERNATIONAL.LABELRANGE,,3,,,4.59MB,1,TRUE
AMS.REFERENCE.CITYSTATE.ALIAS,,5,,,147.93MB,4,TRUE
AMS.REFERENCE.CITYSTATE.DETAIL,,5,,,40.96MB,1,TRUE
AMS.REFERENCE.CITYSTATE.SEASONAL,,5,,,599.04KB,1,TRUE
AMS.REFERENCE.CITYSTATE.ZIPSCHEME,,5,,,95.34KB,1,TRUE
AMS.REFERENCE.CITYSTATE.ZONESPLIT,,5,,,167.69KB,1,TRUE
C360.OPERATIONS.SEARCHREQUEST,,3,325B/s,649B/s,1.95GB,3,TRUE
CBPMAN.MANIFEST.EXT_DISPOSITION.V0,,6,34B/s,103B/s,2.6MB,2,TRUE
CBPMAN.MANIFEST.INBOUND.INTERNATIONAL,,6,0B/s,0B/s,235.8MB,2,TRUE
CBPMAN.MANIFEST.OUTBOUND.INTERNATIONAL,,4,104B/s,312B/s,539.88MB,2,TRUE
CBPMAN.MANIFEST.TARIFF.V0,,6,,,8.69KB,2,TRUE
CCC.OPERATIONS.DELIVERY,,3,23B/s,23B/s,57.42MB,1,TRUE
CCC.OPERATIONS.INTERCEPT,,3,,,0B,1,TRUE
CCC.OPERATIONS.PICKUP,,3,1.98KB/s,3.18KB/s,1.79GB,1,TRUE
CCC.OPERATIONS.REDELIVERY,,3,281B/s,269B/s,80.07MB,1,TRUE
CICRS.OPERATIONS.REFUND,,3,0B/s,0B/s,23.4MB,1,TRUE
EDW.OPERATIONS.DELIVERYPREDICTION.DATE,,197,,,409.02GB,14,TRUE
EDW.OPERATIONS.DELIVERYPREDICTION.HOUR,,197,,,1.73TB,4,TRUE
eeb-prod-azure-e-cl.checkpoints.internal,,1,,,0B,,FALSE
eeb-prod-azure-e-cl.heartbeats,,6,316B/s,,54.29MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.azeast.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.azwest.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.east-az-ptr2.heartbeats,,6,84B/s,89B/s,27.87MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.emasaws_east_gp-prod.heartbeats,,6,284B/s,296B/s,47.01MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.emasaws_east-prod.heartbeats,,6,307B/s,307B/s,258.83MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.emasaws_west-prod.heartbeats,,6,295B/s,,41.18MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.emasaws-prod.heartbeats,,6,273B/s,265B/s,240.57MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.emasaws.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.heartbeats,,6,363B/s,,9.32MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.ship.heartbeats,,6,425B/s,425B/s,256.34MB,,FALSE
eeb-prod-azure-e-cl.kfarm-prod.src.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr2.heartbeats,,6,108B/s,108B/s,49.74MB,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.heartbeats,,6,,,412B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.pone-prod.azure-ptr21.heartbeats,,6,,,256B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.pone-prod.azure-ptr21.pone-prod.azure-ptr21.heartbeats,,6,,,309B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.pone-prod.azure-ptr21.pone-prod.azure-ptr21.pone-prod.azure-ptr21.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.pone-prod.azure-ptr21.pone-prod.heartbeats,,6,,,218B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.pone-prod.azure-ptr21.pone-prod.kfarm.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.pone-prod.heartbeats,,6,,,223B,,FALSE
eeb-prod-azure-e-cl.pone-prod.azure-ptr21.pone-prod.kfarm.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.pone-prod.emasaws.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.pone-prod.heartbeats,,6,194B/s,196B/s,24.92MB,,FALSE
eeb-prod-azure-e-cl.pone-prod.src.heartbeats,,6,,,0B,,FALSE
eeb-prod-azure-e-cl.pone-prod2.azure-ptr21.pone-prod.azure-ptr21.pone-prod.heartbeats,,6,,,0B,,FALSE
EEB.CBPMAN.MANIFEST.EXT_DISPOSITION.V0,,6,22B/s,66B/s,4.29MB,2,TRUE
EEB.CBPMAN.MANIFEST.EXT_DISPOSITION.V0.REJECTED,,3,,,0B,,TRUE
EEB.MANIFEST.CBPMAN.INBOUND.INTERNATIONAL,,6,0B/s,0B/s,341.36MB,2,TRUE
EEB.MANIFEST.CBPMAN.INBOUND.INTERNATIONAL.REJECTED,,3,,,0B,,TRUE
EEB.MANIFEST.CBPMAN.OUTBOUND.INTERNATIONAL,,4,223B/s,1.78KB/s,589.09MB,2,TRUE
EEB.MANIFEST.CBPMAN.OUTBOUND.INTERNATIONAL.REJECTED,,3,,,0B,,TRUE
EEB.MANIFEST.PTR2.SSF,,197,,,0B,,TRUE
EEB.MANIFEST.PTR2.SSF.INCOMPLETE,,197,,,0B,,TRUE
EEB.MANIFEST.PTR2.SSF.REJECTED,,3,,,0B,,TRUE
EEB.MANIFEST.SHIPPINGPARTNER,,24,15.1KB/s,57.83KB/s,112.27GB,2,TRUE
EEB.MANIFEST.SHIPPINGPARTNER.REJECTED,,3,,,1.62KB,,TRUE
EEB.MANIFEST.SHIPPINGSERVICE,,55,5.63KB/s,9.71KB/s,159.5GB,5,TRUE
EEB.MANIFEST.SHIPPINGSERVICE.REJECTED,,3,,,94.67MB,,TRUE
EEB.OPERATIONS.ACP,,35,48.33KB/s,212.31KB/s,23.33GB,2,TRUE
EEB.OPERATIONS.ACP.REJECTED,,3,,,2.73KB,,TRUE
EEB.OPERATIONS.CCC.DELIVERY,,3,19B/s,97B/s,53.81MB,2,TRUE
EEB.OPERATIONS.CCC.DELIVERY.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.CCC.INTERCEPT,,3,,0B/s,0B,1,TRUE
EEB.OPERATIONS.CCC.INTERCEPT.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.CCC.PICKUP,,3,957B/s,9.81KB/s,1.29GB,2,TRUE
EEB.OPERATIONS.CCC.PICKUP.REJECTED,,3,,,144.76KB,,TRUE
EEB.OPERATIONS.CCC.REDELIVERY,,3,198B/s,846B/s,60.1MB,2,TRUE
EEB.OPERATIONS.CCC.REDELIVERY.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.EDW.DELIVERYPREDICTION.DATE,,197,,0B/s,711.24GB,48,TRUE
EEB.OPERATIONS.EDW.DELIVERYPREDICTION.DATE.REJECTED,,3,,,2.33MB,,TRUE
EEB.OPERATIONS.EDW.DELIVERYPREDICTION.HOUR,,197,,,3.98TB,,TRUE
EEB.OPERATIONS.EDW.DELIVERYPREDICTION.HOUR.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.GBS.CUSTOMS,,6,145B/s,1.24KB/s,683.68MB,2,TRUE
EEB.OPERATIONS.GBS.CUSTOMS.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.GBS.TRANSPORTATION,,7,100B/s,1.01KB/s,741.56MB,2,TRUE
EEB.OPERATIONS.GBS.TRANSPORTATION.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.IDS.MPE.SCAN,,197,6.65MB/s,15.21MB/s,12TB,48,TRUE
EEB.OPERATIONS.IDS.MPE.SCAN.REJECTED,,3,,,524.39MB,,TRUE
EEB.OPERATIONS.IDS.PACKAGE.SCAN,,197,292.94KB/s,504.77KB/s,1.07TB,,TRUE
EEB.OPERATIONS.IDS.PACKAGE.SCAN.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.IMDAS.CBL,,3,2.63KB/s,59.57KB/s,3.05GB,2,TRUE
EEB.OPERATIONS.IMDAS.CBL.REJECTED,,3,,,213.31KB,,TRUE
EEB.OPERATIONS.IMDAS.CBT,,3,48B/s,313B/s,1.27GB,,TRUE
EEB.OPERATIONS.IMDAS.CBT.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.IMDAS.CLF,,24,6.52KB/s,27.64KB/s,13.12GB,6,TRUE
EEB.OPERATIONS.IMDAS.CLF.REJECTED,,3,,,1.3MB,,TRUE
EEB.OPERATIONS.IMDAS.CR1,,3,14B/s,131B/s,605.02KB,2,TRUE
EEB.OPERATIONS.IMDAS.CR1.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.IMDAS.DSP,,3,10B/s,777B/s,81.2MB,1,TRUE
EEB.OPERATIONS.IMDAS.DSP.REJECTED,,3,,,41.11KB,,TRUE
EEB.OPERATIONS.IMDAS.FR1,,3,401B/s,8.29KB/s,1.08GB,2,TRUE
EEB.OPERATIONS.IMDAS.FR1.REJECTED,,3,,,1.68MB,,TRUE
EEB.OPERATIONS.IMDAS.MMD,,24,15.35KB/s,61.84KB/s,14.31GB,1,TRUE
EEB.OPERATIONS.IMDAS.MMD.CARRIER.SCAN,,24,2.35KB/s,1.73KB/s,3.38GB,,TRUE
EEB.OPERATIONS.IMDAS.MMD.REJECTED,,3,,,37.3KB,,TRUE
EEB.OPERATIONS.IVS.SIGNATURE,,3,191B/s,1.74KB/s,922.59MB,2,TRUE
EEB.OPERATIONS.IVS.SIGNATURE.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.MED,,197,882.36KB/s,2.35MB/s,594.19GB,24,TRUE
EEB.OPERATIONS.MED.REJECTED,,3,,,55.11MB,,TRUE
EEB.OPERATIONS.MHTS.FIRMBOOK.FR2,,3,,,107MB,2,TRUE
EEB.OPERATIONS.MHTS.FIRMBOOK.FR2.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.NCOA.ACS.DISPOSITION.UPDATE,,97,,,1.27GB,6,TRUE
EEB.OPERATIONS.NCOA.ACS.DISPOSITION.UPDATE.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.OSW,,3,58.36KB/s,1.17MB/s,27.59GB,2,TRUE
EEB.OPERATIONS.OSW.REJECTED,,3,,,3.65MB,,TRUE
EEB.OPERATIONS.PTR2.CONTAINER.SCAN,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.CONTAINER.SCAN.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.PTR2.NOTIFICATION,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.NOTIFICATION.HOLDFORPICKUP,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.NOTIFICATION.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.PTR2.PACKAGE.SCAN,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.PACKAGE.SCAN.ASSUMEDBREAK,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.PACKAGE.SCAN.CBPMAN,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.PACKAGE.SCAN.EXPRESS,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.PACKAGE.SCAN.INTERCEPT,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.PACKAGE.SCAN.PARCELRETURNSERVICE,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.PACKAGE.SCAN.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.PTR2.RIPS,,197,,,0B,,TRUE
EEB.OPERATIONS.PTR2.RIPS.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.RECOVERY.SEARCHREQUEST,,3,400B/s,4.04KB/s,194.24MB,3,TRUE
EEB.OPERATIONS.RECOVERY.SEARCHREQUEST.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.REFUND,,3,8B/s,57B/s,64.88MB,2,TRUE
EEB.OPERATIONS.REFUND.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.RIMS.GPS.BREADCRUMB.ONE.MINUTE,,197,1.1MB/s,910.08KB/s,905.13GB,,TRUE
EEB.OPERATIONS.RIMS.GPS.BREADCRUMB.ONE.MINUTE.REJECTED,,3,,,3.22MB,,TRUE
EEB.OPERATIONS.RSS.MPU,,6,5.13KB/s,41.27KB/s,2.61GB,6,TRUE
EEB.OPERATIONS.RSS.MPU.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.RSS.SMP,,3,277B/s,2.01KB/s,93.84MB,2,TRUE
EEB.OPERATIONS.RSS.SMP.REJECTED,,3,,,18.48KB,,TRUE
EEB.OPERATIONS.SAMS2.ASSIGNMENTLOG.V0,,6,0B/s,0B/s,4.43GB,4,TRUE
EEB.OPERATIONS.SAMS2.ASSIGNMENTLOG.V0.REJECTED,,6,,,0B,,TRUE
EEB.OPERATIONS.SASS.CONTAINERSCAN.V0,,6,0B/s,0B/s,119.51MB,2,TRUE
EEB.OPERATIONS.SASS.CONTAINERSCAN.V0.REJECTED,,6,,,0B,,TRUE
EEB.OPERATIONS.SASS.HUSCAN.V0,,6,94B/s,198B/s,14.78GB,2,TRUE
EEB.OPERATIONS.SASS.HUSCAN.V0.REJECTED,,6,,,0B,,TRUE
EEB.OPERATIONS.SASS.PROCESSEDTAGS.V0,,6,,,2.62GB,,TRUE
EEB.OPERATIONS.SASS.PROCESSEDTAGS.V0.REJECTED,,6,,,0B,,TRUE
EEB.OPERATIONS.SV.MEV,,3,4.41KB/s,28.5KB/s,3.37GB,2,TRUE
EEB.OPERATIONS.SV.MEV.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.SV.NESTING.CT1,,197,241.87KB/s,764.66KB/s,409.85GB,24,TRUE
EEB.OPERATIONS.SV.NESTING.CT1.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.SV.TRANSPORTATION.CT2,,22,0B/s,1004B/s,27.33GB,22,TRUE
EEB.OPERATIONS.SV.TRANSPORTATION.CT2.REJECTED,,3,,,0B,,TRUE
EEB.OPERATIONS.TRP.DELIVERYPREDICTION,,197,69.9KB/s,246.85KB/s,284.06GB,24,TRUE
EEB.OPERATIONS.TRP.DELIVERYPREDICTION.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.ALMS.INTERNATIONAL.LABELRANGE,,3,,,1.21MB,,TRUE
EEB.REFERENCE.ALMS.INTERNATIONAL.LABELRANGE.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.ALIAS,,5,,,123.51MB,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.ALIAS.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.DETAIL,,5,,,36.1MB,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.DETAIL.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.SEASONAL,,5,,,666.9KB,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.SEASONAL.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.ZIPSCHEME,,5,,,119.99KB,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.ZIPSCHEME.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.ZONESPLIT,,5,,,134.8KB,,TRUE
EEB.REFERENCE.AMS.CITYSTATE.ZONESPLIT.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.EELLS.LABLELIST,,12,,,42.82MB,,TRUE
